quarter,AUS,CAN,CHE,EUR,GBR,JPN,NOR,NZL,SWE
2015-Q1,2.4533333333,0.6166666667,-0.6268364306,0.0460161667,0.56353,0.1713333333,1.3826984127,3.6433333333,-0.0066666667
2015-Q2,2.1833333333,0.6285,-0.7561364167,-0.0065258333,0.5697866667,0.1693333333,1.4366666667,3.4966666667,-0.2833333333
2015-Q3,2.15,0.4183333333,-0.7605772222,-0.0278171,0.5844333333,0.169,1.21,2.9766666667,-0.4733333333
2015-Q4,2.2366666667,0.4463333333,-0.7553489444,-0.0891760333,0.5788466667,0.169,1.1333333333,2.8466666667,-0.3933333333
2016-Q1,2.2966666667,0.4508333333,-0.8028921333,-0.1860817333,0.58958,0.1216666667,1.09,2.5933333333,-0.5166666667
2016-Q2,2.0833333333,0.51,-0.7436316667,-0.2580938,0.58429,0.0596666667,0.9933333333,2.3633333333,-0.6066666667
2016-Q3,1.8066666667,0.5036666667,-0.7566666667,-0.2981258667,0.4329333333,0.0573333333,1.06,2.28,-0.72
2016-Q4,1.76,0.4816666667,-0.77,-0.3124812333,0.3891633333,0.056,1.1233333333,2.0833333333,-0.7766666667
2017-Q1,1.7833333333,0.471,-0.8495927222,-0.3278311,0.3548366667,0.056,1.02,1.9933333333,-0.6966666667
2017-Q2,1.74,0.5373333333,-0.82094245,-0.3299478,0.3134533333,0.056,0.9166666667,1.9666666667,-0.64
2017-Q3,1.7066666667,0.8106666667,-0.8220277778,-0.3296322,0.2944666667,0.0623333333,0.8133333333,1.9533333333,-0.73
2017-Q4,1.73,0.9333333333,-0.8987109815,-0.3288134,0.47305,0.063,0.81,1.9166666667,-0.7133333333
2018-Q1,1.83,1.1405,-0.8461169,-0.3282864333,0.5659166667,0.0776666667,0.9466666667,1.9066666667,-0.67
2018-Q2,2.03,1.2161666667,-0.7922965976,-0.3252416333,0.6795066667,0.0843333333,1.0733333333,2.01,-0.6833333333
2018-Q3,1.97,1.4601666667,-0.779333569,-0.3195257667,0.7841033333,0.0773333333,1.0566666667,1.9133333333,-0.6933333333
2018-Q4,1.9633333333,1.6775,-0.8073588095,-0.315318,0.8618166667,0.05,1.19,1.95,-0.6966666667
2019-Q1,1.9533333333,1.653,-0.7795654497,-0.3085468333,0.8780666667,0.0366666667,1.29,1.8966666667,-0.4133333333
2019-Q2,1.5033333333,1.6726666667,-0.7677725,-0.3170712,0.8,0.0493333333,1.4566666667,1.71,-0.3994666667
2019-Q3,1.0233333333,1.6388333333,-0.8129166667,-0.3967076,0.7666666667,0.0223333333,1.6266666667,1.3166666667,-0.4124
2019-Q4,0.8966666667,1.658,-0.7329669697,-0.4029517667,0.7866666667,0.016,1.8366666667,1.15,-0.4533333333
2020-Q1,0.77,1.317,-0.7133991667,-0.4055409333,0.6733333333,0.016,1.6566666667,1.0533333333,-0.1592366667
2020-Q2,0.1233333333,0.2245,-0.6512489074,-0.3006666667,0.39,-0.041,0.4666666667,0.31,-0.131458
2020-Q3,0.0966666667,0.1598333333,-0.7020782373,-0.4717361,0.0766666667,-0.0616666667,0.28,0.2966666667,-0.1114806667
2020-Q4,0.0366666667,0.1045,-0.7236363636,-0.5226948,0.04,-0.055,0.3933333333,0.2666666667,-0.1451766667
2021-Q1,0.0166666667,0.082,-0.730754,-0.5424456667,0.0533333333,-0.0583333333,0.4366666667,0.2966666667,-0.1471233333
2021-Q2,0.0366666667,0.106,-0.7338299418,-0.5403847667,0.0833333333,-0.0673333333,0.2466666667,0.34,-0.1524733333
2021-Q3,0.0133333333,0.159,-0.7647727273,-0.5458182,0.0733333333,-0.072,0.47,0.5033333333,-0.1627
2021-Q4,0.0466666667,0.1051666667,-0.7127032706,-0.5663765333,0.15,-0.0643333333,0.8633333333,0.8133333333,-0.3150466667
2022-Q1,0.1033333333,0.3986666667,-0.6937191001,-0.5290259,0.7766666667,-0.049,1.1966666667,1.2433333333,-0.17622
2022-Q2,1.0033333333,1.4163333333,-0.6220238095,-0.3576164333,1.3366666667,-0.031,1.3966666667,2.2366666667,0.2431046667
2022-Q3,2.38,2.9243333333,0.0043181818,0.4807405667,2.3266666667,-0.0223333333,2.5933333333,3.3266666667,1.1404466667
2022-Q4,3.06,3.9718333333,0.6016996825,1.7721234,3.5633333333,-0.0156666667,3.3666666667,4.2566666667,1.76754
2023-Q1,3.4733333333,4.3876666667,1.1169091235,2.6319262667,4.1833333333,-0.0043333333,3.4033333333,4.99,2.9803733333
2023-Q2,3.9366666667,4.5593333333,1.4968181818,3.3623451,4.78,-0.0076666667,4.0166666667,5.6133333333,3.4843
2023-Q3,4.1933333333,5.0088333333,1.7524242424,3.7773871333,5.5133333333,0.006,4.7066666667,5.6633333333,3.77633
2023-Q4,4.3133333333,5.0078333333,1.7181060606,3.9580558333,5.3266666667,0.0213333333,4.7133333333,5.6466666667,4.02885
2024-Q1,4.3466666667,4.9293333333,1.6284126984,3.9238544,5.2033333333,0.0536666667,4.7166666667,5.6633333333,4.0222766667
2024-Q2,4.3733333333,4.8135,1.4756666667,3.8075050333,5.1666666667,0.129,4.72,5.6233333333,3.80724
